USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root         120  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-ipv6_addrconf]
root         121  0.0  0.0      0     0 ?        I    12:08   0:00 [kworker/u512:1-ipv6_addrconf]
root         122  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-kstrp]
root         125  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/u517:0]
root         128  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/u520:0-ttm]
root         129  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/u521:0-ttm]
root         140  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-charger_manager]
root         396  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-mpt_poll_0]
root         397  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-mpt/0]
root         398  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_2]
root         399  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_2]
root         400  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_3]
root         401  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_3]
root         402  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_4]
root         403  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_4]
root         404  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_5]
root         405  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_5]
root         406  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_6]
root         407  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_6]
root         408  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_7]
root         409  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_7]
root         410  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_8]
root         411  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_8]
root         412  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_9]
root         413  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_9]
root         414  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_10]
root         415  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_10]
root         416  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_11]
root         417  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_11]
root         418  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_12]
root         419  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_12]
root         420  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_13]
root         421  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_13]
root         422  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_14]
root         423  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_14]
root         424  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_15]
root         425  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_15]
root         426  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_16]
root         427  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_16]
root         428  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_17]
root         429  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_17]
root         430  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_18]
root         431  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_18]
root         432  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_19]
root         433  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_19]
root         434  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_20]
root         435  0.0  0.0      0     0 ?        I<   12:08   0:00 [kworker/R-scsi_tmf_20]
root         436  0.0  0.0      0     0 ?        S    12:08   0:00 [scsi_eh_21]
