USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
root         111  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_0]
root         112  0.0  0.0      0     0 ?        S    17:28   0:00 [scsi_eh_1]
root         113  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-scsi_tmf_1]
root         114  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:3-async]
root         115  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:4-async]
root         116  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u513:5-async]
root         117  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u515:1-loop12]
root         118  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u515:2-ext4-rsv-conversion]
root         119  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u516:1-events_power_efficient]
root         120  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-mld]
root         121  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-ipv6_addrconf]
root         122  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u512:1-ipv6_addrconf]
root         123  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-kstrp]
root         125  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/u517:0]
root         126  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/u518:0]
root         127  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/u519:0-ttm]
root         128  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/u520:0]
root         129  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/u521:0]
root         130  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/2:2-cgroup_free]
root         134  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/u514:1-events_unbound]
root         142  0.0  0.0      0     0 ?        I<   17:28   0:00 [kworker/R-charger_manager]
root         238  0.1  0.0      0     0 ?        I    17:28   0:00 [kworker/u514:2-ext4-rsv-conversion]
root         240  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/1:2-cgroup_free]
root         242  0.0  0.0      0     0 ?        I    17:28   0:00 [kworker/0:2-events]
